Region,Year,Avg Precipitation,Avg Max Temp
north-west,1951,1142.4,23.2
north-west,1952,860.15,24.6
north-west,1953,867.35,24.9
north-west,1954,1317.9,22.6
north-west,1955,1006.1999999999999,27.8
north-west,1956,1020.95,23.7
north-west,1957,1026.6000000000001,27.55
north-west,1958,1217.0333333333333,22.5
north-west,1959,1120.8999999999999,24.1
north-west,1960,1248.9666666666667,23.05
north-west,1961,1285.625,22.366666666666664
north-west,1962,1197.2,21.900000000000002
north-west,1963,1061.95,25.46666666666667
north-west,1964,1176.575,22.433333333333334
north-west,1965,1278.0,21.866666666666664
north-west,1966,1269.85,22.866666666666664
north-west,1967,1253.675,22.433333333333334
north-west,1968,1230.55,24.133333333333336
north-west,1969,1014.575,25.266666666666666
north-west,1970,1240.95,25.2
north-west,1971,943.65,24.675
north-west,1972,1072.35,25.425
north-west,1973,1163.625,27.049999999999997
north-west,1974,1270.075,25.05
north-west,1975,1045.225,27.2
north-west,1976,1048.225,29.325
north-west,1977,1226.375,25.725
north-west,1978,1210.575,24.400000000000002
north-west,1979,1320.725,22.8
north-west,1980,1243.5666666666666,22.2
north-west,1981,1346.3,23.6
north-west,1982,1320.75,25.25
north-west,1983,1168.275,29.45
north-west,1984,1256.9,26.325
north-west,1985,1368.8999999999999,22.733333333333334
north-west,1986,1386.6999999999998,24.6
north-west,1987,1087.875,22.175
north-west,1988,1251.0333333333335,23.333333333333332
north-west,1989,1289.4199999999998,26.95
north-west,1990,1382.375,26.166666666666668
north-west,1991,1235.0,25.9
north-west,1992,1346.725,24.2
north-west,1993,1260.6799999999998,22.55
north-west,1994,1314.975,22.633333333333336
north-west,1995,1191.3249999999998,28.766666666666666
north-west,1996,1154.2,25.5
north-west,1997,1263.5333333333333,25.599999999999998
north-west,1998,1342.1999999999998,24.1
north-west,1999,1486.6,24.85
north-west,2000,1327.85,25.5
north-west,2001,1082.3666666666668,23.366666666666664
north-west,2002,1372.85,24.1
north-west,2003,1135.4666666666667,27.933333333333334
north-west,2004,1346.6000000000001,23.900000000000002
