Station ID,year,n_rain,R5mm,R10mm,R20mm,SDII,PRCPTOT,CDD,CWD,Rx1day,Rx5day,R95pTOT,R99pTOT,n_maxdy,n_mindy,FD,TR,SU,ID,TNn,TNx,TXn,TXx,DTR,TN10p,TN90p,TX10p,TX90p,WSDI,CSDI,GSL,Latitude,Longitude,Direction
BELMULLET,1985,365,82.0,35.0,9.0,6.964,1260.5,62.6,95.1,443.4,229.7,20.0,13.0,365.0,365.0,47.0,0.0,0.0,0.0,-6.4,14.8,0.7,22.1,5.829,19.065,7.142,16.646,8.096,6.0,7.0,330.0,54.2,-10.0,north-west
BELMULLET,1986,365,102.0,44.0,8.0,6.759,1405.8,41.7,88.1,329.9,108.6,25.0,16.0,365.0,365.0,31.0,0.0,0.0,0.0,-5.7,16.2,2.4,24.5,5.756,18.961,5.668,26.16,5.933,0.0,17.0,351.0,54.2,-10.0,north-west
BELMULLET,1987,365,70.0,25.0,9.0,5.982,1052.8,40.2,58.1,233.0,119.8,12.0,13.0,365.0,365.0,31.0,0.0,0.0,1.0,-5.7,16.0,-1.1,21.5,5.554,14.237,8.144,11.62,7.822,0.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1988,366,98.0,30.0,5.0,5.99,1233.9,30.4,56.7,219.1,60.1,13.0,13.0,366.0,366.0,5.0,0.0,0.0,0.0,-2.0,15.5,5.3,21.3,5.25,5.794,11.815,8.508,10.806,0.0,0.0,318.0,54.2,-10.0,north-west
BELMULLET,1989,365,92.0,28.0,9.0,6.677,1268.6,79.6,154.9,325.7,140.2,16.0,24.0,365.0,365.0,15.0,0.0,2.0,0.0,-2.9,17.5,4.7,26.0,5.556,9.58,14.662,6.5,18.054,6.0,6.0,332.0,54.2,-10.0,north-west
BELMULLET,1990,365,105.0,45.0,10.0,6.834,1421.5,32.4,74.3,337.3,32.4,12.0,25.0,365.0,365.0,7.0,0.0,2.0,0.0,-1.5,16.9,5.8,26.7,5.586,5.149,16.504,3.902,17.581,6.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1991,365,84.0,33.0,6.0,6.28,1124.1,31.3,58.0,213.8,31.3,20.0,25.0,365.0,365.0,13.0,0.0,3.0,0.0,-3.9,15.7,2.9,26.7,5.595,5.753,12.055,2.466,13.699,11.0,6.0,359.0,54.2,-10.0,north-west
BELMULLET,1992,366,99.0,43.0,10.0,6.888,1412.1,47.5,84.7,424.5,171.9,17.0,17.0,366.0,366.0,8.0,0.0,0.0,0.0,-1.6,14.7,5.2,24.5,5.424,6.831,15.027,6.557,14.208,9.0,0.0,360.0,54.2,-10.0,north-west
BELMULLET,1993,365,89.0,38.0,3.0,6.156,1157.3,36.3,67.6,156.7,36.3,18.0,26.0,365.0,365.0,6.0,0.0,0.0,0.0,-1.7,14.4,4.8,22.6,5.533,6.849,13.973,6.301,11.233,0.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1994,365,105.0,33.0,3.0,6.065,1285.8,26.5,63.7,233.5,26.5,11.0,19.0,365.0,365.0,3.0,0.0,0.0,0.0,-2.0,15.3,2.7,22.9,5.41,5.753,9.315,4.11,11.507,6.0,0.0,351.0,54.2,-10.0,north-west
BELMULLET,1995,365,77.0,34.0,5.0,6.534,1176.1,40.0,105.9,263.3,110.0,15.0,27.0,365.0,365.0,12.0,0.0,8.0,0.0,-3.2,17.1,1.8,28.0,5.898,6.849,21.096,6.301,25.205,34.0,0.0,354.0,54.2,-10.0,north-west
BELMULLET,1996,366,83.0,35.0,5.0,6.575,1098.1,27.8,68.8,207.9,55.4,16.0,13.0,366.0,366.0,21.0,0.0,0.0,0.0,-3.7,16.7,3.1,25.0,5.609,10.383,10.383,5.191,11.749,13.0,0.0,355.0,54.2,-10.0,north-west
BELMULLET,1997,365,89.0,38.0,10.0,6.766,1245.0,37.1,80.6,387.5,93.9,18.0,12.0,365.0,365.0,14.0,0.0,1.0,0.0,-2.7,17.6,1.9,26.6,5.778,5.479,25.205,3.562,27.945,41.0,0.0,350.0,54.2,-10.0,north-west
BELMULLET,1998,365,95.0,32.0,6.0,6.078,1300.6,39.2,71.6,287.0,69.7,16.0,18.0,365.0,365.0,7.0,0.0,1.0,0.0,-2.9,15.6,3.9,25.4,5.435,5.753,21.096,3.014,23.014,29.0,0.0,354.0,54.2,-10.0,north-west
BELMULLET,1999,365,87.0,36.0,11.0,6.156,1348.2,43.0,97.1,377.4,134.1,8.0,15.0,365.0,365.0,3.0,0.0,0.0,0.0,-2.8,16.4,4.2,24.4,5.364,6.027,21.096,2.74,20.274,10.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2000,366,92.0,40.0,5.0,5.839,1313.8,32.9,75.0,241.6,59.4,13.0,23.0,366.0,366.0,7.0,0.0,1.0,0.0,-5.5,16.0,2.0,26.3,5.525,4.098,15.847,3.825,20.765,7.0,6.0,359.0,54.2,-10.0,north-west
BELMULLET,2001,365,70.0,26.0,3.0,5.32,947.0,23.6,68.3,99.8,0.0,15.0,15.0,365.0,365.0,16.0,0.0,0.0,0.0,-4.8,14.9,4.3,23.1,5.762,7.945,13.425,3.014,15.616,0.0,0.0,339.0,54.2,-10.0,north-west
BELMULLET,2002,365,92.0,40.0,7.0,6.17,1289.5,35.0,55.9,210.7,88.3,17.0,23.0,365.0,365.0,3.0,0.0,0.0,0.0,-3.1,15.4,4.5,23.1,5.493,5.479,15.89,3.836,22.74,19.0,0.0,357.0,54.2,-10.0,north-west
BELMULLET,2003,365,73.0,30.0,5.0,6.145,1032.4,28.6,67.7,205.0,28.6,19.0,12.0,365.0,365.0,14.0,0.0,3.0,0.0,-2.5,16.2,2.9,27.7,5.948,3.836,17.808,1.096,25.479,14.0,6.0,348.0,54.2,-10.0,north-west
BELMULLET,2004,366,73.0,31.0,4.0,5.446,1094.7,26.7,62.2,200.0,26.7,12.0,15.0,366.0,366.0,5.0,0.0,0.0,0.0,-0.8,15.8,5.4,24.2,5.569,5.738,19.672,2.459,24.59,7.0,0.0,360.0,54.2,-10.0,north-west
BELMULLET,2005,365,86.0,38.0,6.0,6.477,1178.8,44.7,70.0,185.9,165.5,11.0,22.0,365.0,365.0,7.0,0.0,0.0,0.0,-1.1,16.7,4.3,24.5,5.295,3.014,24.384,1.918,21.096,13.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2006,365,96.0,44.0,8.0,7.461,1365.3,57.0,94.3,461.7,125.8,18.0,36.0,365.0,365.0,11.0,0.0,2.0,0.0,-4.6,16.5,4.9,29.9,5.586,3.288,21.918,2.192,25.479,9.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2007,365,82.0,36.0,4.0,6.137,1098.5,25.3,80.0,236.0,0.0,23.0,14.0,365.0,365.0,5.0,0.0,1.0,0.0,-2.5,15.6,3.5,25.1,5.636,3.562,24.658,1.37,32.329,40.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2008,366,102.0,36.0,7.0,6.563,1404.4,49.5,104.9,376.2,184.4,12.0,20.0,366.0,366.0,9.0,0.0,0.0,0.0,-3.0,16.5,4.8,25.0,5.697,4.645,16.393,2.732,18.852,36.0,0.0,349.0,54.2,-10.0,north-west
BELMULLET,2009,365,94.0,43.0,3.0,5.95,1285.3,25.9,56.7,118.4,25.9,19.0,18.0,365.0,365.0,15.0,0.0,0.0,0.0,-2.7,15.4,4.1,23.9,5.505,4.932,17.808,3.288,19.452,24.0,0.0,344.0,54.2,-10.0,north-west
BELMULLET,2010,365,75.0,30.0,5.0,6.18,1069.2,36.8,71.8,254.2,70.0,17.0,19.0,365.0,365.0,49.0,0.0,0.0,0.0,-7.6,15.5,0.9,22.4,6.044,15.342,12.055,9.863,12.603,0.0,15.0,336.0,54.2,-10.0,north-west
BELMULLET,2011,365,93.0,45.0,2.0,6.299,1335.4,31.2,64.3,217.9,31.2,9.0,19.0,365.0,365.0,7.0,0.0,0.0,0.0,-3.8,15.5,3.7,20.6,5.3,4.384,15.89,4.11,22.466,9.0,0.0,349.0,54.2,-10.0,north-west
BELMULLET,2012,366,80.0,33.0,4.0,5.399,1079.8,27.3,57.2,131.1,27.3,12.0,10.0,366.0,366.0,2.0,0.0,4.0,0.0,-1.0,16.04,4.6,26.1,5.189,4.918,22.678,7.65,16.393,23.0,0.0,360.0,54.2,-10.0,north-west
BELMULLET,2013,365,82.0,25.0,2.0,5.459,1015.4,27.8,51.6,172.0,27.8,19.0,14.0,365.0,365.0,18.0,0.0,4.0,0.0,-3.818,19.1,3.216,27.82,5.324,7.945,18.356,7.397,17.534,24.0,6.0,359.0,54.2,-10.0,north-west
BELMULLET,2014,365,85.0,35.0,7.0,5.855,1247.1,29.8,62.3,279.3,57.9,21.0,37.0,365.0,365.0,1.0,0.0,0.0,0.0,-0.489,17.15,5.586,22.85,5.477,3.836,20.0,0.548,18.63,15.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2015,365,106.0,37.0,8.0,6.935,1407.9,36.8,90.4,389.1,171.2,11.0,21.0,365.0,365.0,2.0,0.0,0.0,0.0,-1.052,14.76,3.396,22.8,5.475,6.849,10.685,6.849,16.438,13.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2016,366,85.0,29.0,2.0,5.669,1156.4,32.8,63.9,182.1,32.8,13.0,22.0,366.0,366.0,11.0,0.0,2.0,0.0,-2.828,15.46,5.596,25.35,5.297,3.552,15.027,3.279,15.027,13.0,0.0,344.0,54.2,-10.0,north-west
BELMULLET,2017,365,80.0,32.0,5.0,5.867,1202.8,34.5,50.4,284.6,95.1,16.0,21.0,365.0,365.0,3.0,0.0,0.0,0.0,-1.866,16.65,4.869,24.72,5.049,3.836,20.822,2.192,17.534,18.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2018,365,88.0,40.0,10.0,7.067,1321.6,34.4,73.0,398.7,94.1,24.0,16.0,365.0,365.0,12.0,0.0,4.0,0.0,-3.489,16.79,1.53,27.17,5.264,8.219,21.096,4.658,13.151,7.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2019,365,103.0,43.0,6.0,6.433,1325.1,43.6,87.1,205.0,43.6,14.0,21.0,365.0,365.0,2.0,0.0,0.0,0.0,-0.713,17.51,3.002,23.4,5.15,3.288,22.192,2.466,18.356,22.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,2020,366,112.0,46.0,5.0,6.715,1490.8,36.2,76.1,321.3,101.8,16.0,28.0,366.0,366.0,4.0,0.0,1.0,0.0,-1.67,16.21,5.817,25.59,5.212,3.825,14.208,3.825,14.208,14.0,0.0,360.0,54.2,-10.0,north-west
BELMULLET,2021,365,83.0,36.0,4.0,6.119,1229.9,45.1,67.5,253.9,80.4,15.0,18.0,365.0,365.0,7.0,0.0,4.0,0.0,-1.12,17.87,3.115,28.62,5.232,5.205,22.466,4.932,18.356,7.0,0.0,350.0,54.2,-10.0,north-west
