year,annual,Station
1973,32.7,LOCID000041
1974,35.8,LOCID000041
1975,32.6,LOCID000041
1976,35.7,LOCID000041
1977,30,LOCID000041
1978,30.6,LOCID000041
1979,30.9,LOCID000041
1980,31.3,LOCID000041
1981,31.1,LOCID000041
1982,32.7,LOCID000041
1983,32.8,LOCID000041
1984,36.5,LOCID000041
1985,31.9,LOCID000041
1986,32.6,LOCID000041
1987,30.7,LOCID000041
1988,31.3,LOCID000041
1989,34,LOCID000041
1990,33.1,LOCID000041
1991,-99.9,LOCID000041
1992,36.9,LOCID000041
1993,30.2,LOCID000041
1994,34.9,LOCID000041
1995,34.2,LOCID000041
1996,31.6,LOCID000041
1997,32.2,LOCID000041
1998,35,LOCID000041
1999,32.8,LOCID000041
2000,34.8,LOCID000041
2001,34.7,LOCID000041
2002,34,LOCID000041
2003,36,LOCID000041
2004,30.3,LOCID000041
1912,30.3,61700003865
1913,30.3,61700003865
1914,32.5,61700003865
1915,36.2,61700003865
1916,28.8,61700003865
1917,35.4,61700003865
1918,31.1,61700003865
1919,34.4,61700003865
1920,31.2,61700003865
1921,34.7,61700003865
1922,36.6,61700003865
1923,38.8,61700003865
1924,34.4,61700003865
1925,35.2,61700003865
1926,31.6,61700003865
1927,29.4,61700003865
1928,33.4,61700003865
1929,35.5,61700003865
1930,34,61700003865
1931,32,61700003865
1932,35.8,61700003865
1933,32.2,61700003865
1934,32.4,61700003865
1935,31.9,61700003865
1936,31.2,61700003865
1937,35.6,61700003865
1938,32.8,61700003865
1939,33.2,61700003865
1940,29.6,61700003865
1941,34.5,61700003865
1942,32.4,61700003865
1943,34.6,61700003865
1944,35.3,61700003865
1945,34,61700003865
1946,36.2,61700003865
1947,36.5,61700003865
1948,34.2,61700003865
1949,32.2,61700003865
1950,30.2,61700003865
1951,31.2,61700003865
1952,33.7,61700003865
1953,32,61700003865
1954,32.3,61700003865
1955,29.9,61700003865
1956,30.6,61700003865
1957,35.7,61700003865
1958,29,61700003865
1959,35.1,61700003865
1960,30.2,61700003865
1961,32.2,61700003865
1962,-99.9,61700003865
1879,-99.9,LOCID000045
1880,-99.9,LOCID000045
1881,-99.9,LOCID000045
1882,-99.9,LOCID000045
1883,-99.9,LOCID000045
1884,-99.9,LOCID000045
1885,-99.9,LOCID000045
1886,-99.9,LOCID000045
1887,-99.9,LOCID000045
1888,-99.9,LOCID000045
1889,-99.9,LOCID000045
1890,-99.9,LOCID000045
1891,-99.9,LOCID000045
1892,-99.9,LOCID000045
1893,-99.9,LOCID000045
1894,-99.9,LOCID000045
1895,-99.9,LOCID000045
1896,-99.9,LOCID000045
1897,-99.9,LOCID000045
1898,-99.9,LOCID000045
1899,-99.9,LOCID000045
1900,-99.9,LOCID000045
1901,32.6,LOCID000045
1902,32.6,LOCID000045
1903,33.9,LOCID000045
1904,37.1,LOCID000045
1905,36.1,LOCID000045
1906,33.5,LOCID000045
1907,33.1,LOCID000045
1908,34.9,LOCID000045
1909,33.3,LOCID000045
1910,31.5,LOCID000045
1911,37.2,LOCID000045
1912,32,LOCID000045
1913,29.5,LOCID000045
1914,32.2,LOCID000045
1915,35.7,LOCID000045
1916,29.7,LOCID000045
1917,33.8,LOCID000045
1918,33.7,LOCID000045
1919,34.7,LOCID000045
1920,32.6,LOCID000045
1921,35.8,LOCID000045
1922,-99.9,LOCID000045
1923,35.3,LOCID000045
1924,33.1,LOCID000045
1925,34.5,LOCID000045
1926,31.1,LOCID000045
1927,33.3,LOCID000045
1928,34.5,LOCID000045
1929,35.2,LOCID000045
1930,34.1,LOCID000045
