year,cdd,Station,csdi,cwd,DTR,FD,gsl,ID,prcptot,R10mm,R20mm,r95p,r99p,Rnnmm,RX1day,RX5day,sdii,SU,TN10p,TN50p,TN90p,TNn,TNx,TR,TX10p,TX50p,TX90p,TXn,TXx,wsdi,Station_name
1968,24.0,61700004063,0.0,10.0,8.92,111.0,234.0,28.0,687.9,20.0,5.0,185.4,67.5,3.0,34.3,70.9,5.8,32.0,9.31,48.77,10.4,-27.9,19.0,0.0,9.31,40.84,8.67,-13.5,30.6,7.0,
1969,26.0,61700004063,0.0,8.0,9.41,109.0,232.0,42.0,549.1,10.0,4.0,123.2,61.2,2.0,31.9,54.3,5.3,44.0,15.12,44.98,6.6,-25.0,19.4,0.0,15.12,48.97,9.59,-16.4,34.4,6.0,
1970,14.0,61700004063,0.0,5.0,8.38,105.0,221.0,32.0,683.2,14.0,3.0,122.6,0.0,1.0,26.0,58.3,5.1,37.0,10.85,47.43,11.35,-19.0,16.8,0.0,10.85,39.67,4.72,-6.9,30.8,0.0,
1971,31.0,61700004063,8.0,8.0,9.96,107.0,224.0,24.0,591.6,20.0,5.0,220.9,85.8,2.0,54.1,106.0,6.6,46.0,10.03,49.8,11.39,-22.2,18.4,0.0,10.03,57.39,11.22,-11.5,34.3,0.0,
1972,24.0,61700004063,6.0,7.0,9.2,119.0,245.0,24.0,620.5,15.0,3.0,212.2,122.7,3.0,48.6,64.0,6.4,26.0,11.66,43.26,7.42,-14.1,21.0,1.0,11.66,46.39,6.42,-5.6,32.2,15.0,
1973,37.0,61700004063,0.0,6.0,9.53,123.0,238.0,19.0,504.4,12.0,2.0,93.9,0.0,0.0,20.4,36.5,4.9,47.0,8.4,46.6,5.16,-19.9,17.7,0.0,8.4,46.41,6.34,-10.3,32.3,7.0,
1974,17.0,61700004063,0.0,12.0,8.77,65.0,287.0,2.0,709.2,16.0,1.0,89.4,0.0,0.0,20.4,54.0,5.3,28.0,12.65,56.01,12.51,-11.7,16.3,0.0,12.65,52.98,15.07,-0.8,34.4,7.0,
1975,25.0,61700004063,0.0,6.0,8.9,82.0,253.0,8.0,492.1,9.0,1.0,112.1,75.3,1.0,75.3,94.0,4.8,54.0,7.78,57.29,13.34,-13.0,18.7,0.0,7.78,57.44,10.9,-3.5,31.6,6.0,
1976,33.0,61700004063,0.0,7.0,9.84,99.0,238.0,19.0,424.8,6.0,2.0,65.2,0.0,1.0,26.7,48.5,4.9,51.0,9.0,47.73,11.75,-20.2,18.8,0.0,9.0,54.71,14.8,-9.1,34.0,12.0,
1977,17.0,61700004063,0.0,5.0,8.65,76.0,271.0,9.0,664.2,16.0,1.0,89.2,54.0,1.0,54.0,61.1,5.7,31.0,8.07,57.53,13.59,-15.3,16.6,0.0,8.07,51.22,12.83,-4.0,31.0,6.0,
1978,33.0,61700004063,0.0,10.0,8.31,89.0,224.0,24.0,588.6,11.0,5.0,191.7,75.9,2.0,39.6,49.7,5.8,21.0,13.57,49.16,7.24,-16.2,17.2,0.0,13.57,41.13,6.64,-4.1,30.3,0.0,
1979,17.0,61700004063,7.0,6.0,9.11,105.0,243.0,20.0,610.8,15.0,2.0,101.2,0.0,0.0,23.9,47.1,5.3,36.0,10.49,47.76,8.94,-22.5,16.5,0.0,10.49,45.55,10.41,-12.1,31.2,8.0,
1980,18.0,61700004063,0.0,9.0,8.47,102.0,221.0,29.0,627.7,16.0,4.0,151.7,71.7,3.0,41.8,52.7,5.0,22.0,16.11,40.78,7.35,-17.0,18.9,0.0,16.11,43.49,6.13,-7.2,32.3,0.0,
1981,23.0,61700004063,0.0,10.0,8.64,103.0,245.0,31.0,768.9,23.0,4.0,177.6,103.0,3.0,45.6,71.9,6.1,32.0,14.03,54.16,12.65,-15.2,18.0,0.0,14.03,45.68,10.38,-7.6,31.2,6.0,
1982,20.0,61700004063,0.0,7.0,9.58,89.0,247.0,21.0,511.7,8.0,1.0,51.2,34.8,1.0,34.8,38.6,4.6,57.0,4.99,52.95,10.41,-26.4,17.7,0.0,4.99,53.69,12.05,-13.1,32.3,16.0,
1983,24.0,61700004063,0.0,8.0,9.51,99.0,238.0,24.0,564.5,13.0,3.0,103.7,0.0,0.0,23.4,58.5,5.0,65.0,9.42,56.12,14.92,-14.8,19.5,0.0,9.42,58.28,15.33,-5.1,36.1,0.0,
1984,27.0,61700004063,0.0,6.0,8.59,108.0,233.0,9.0,650.0,16.0,5.0,235.9,80.1,2.0,52.2,61.7,5.7,26.0,11.3,48.51,5.34,-14.0,18.6,0.0,11.3,45.96,4.67,-3.7,35.5,0.0,
1985,21.0,61700004063,27.0,7.0,9.92,123.0,211.0,42.0,495.2,8.0,1.0,100.2,62.5,1.0,62.5,76.8,4.4,38.0,16.34,41.59,9.62,-24.4,17.0,0.0,16.34,48.9,9.62,-13.5,32.5,0.0,
1986,21.0,61700004063,0.0,12.0,9.2,95.0,225.0,31.0,687.7,17.0,0.0,108.3,0.0,0.0,19.6,55.1,5.5,47.0,12.67,50.25,10.55,-19.3,17.2,0.0,12.67,51.03,10.66,-9.4,32.8,0.0,
1987,20.0,61700004063,13.0,8.0,8.54,101.0,225.0,36.0,686.8,15.0,5.0,204.0,77.7,4.0,42.5,58.9,6.1,30.0,15.87,46.41,13.26,-23.2,18.5,0.0,15.87,40.31,7.29,-13.4,32.2,0.0,
1988,12.0,61700004063,0.0,8.0,8.65,78.0,307.0,5.0,697.2,19.0,1.0,120.8,47.8,1.0,47.8,51.4,5.2,38.0,3.91,64.77,15.56,-16.8,16.9,0.0,3.91,59.88,8.79,-4.8,32.6,6.0,
1989,32.0,61700004063,0.0,8.0,9.55,84.0,251.0,15.0,554.7,15.0,4.0,136.6,58.9,2.0,30.3,40.8,5.5,54.0,3.82,57.22,17.41,-12.5,17.8,0.0,3.82,60.6,17.31,-2.6,34.2,19.0,
1990,28.0,61700004063,0.0,8.0,9.76,74.0,259.0,11.0,641.5,17.0,2.0,197.8,31.2,1.0,31.2,61.0,6.0,40.0,2.78,56.32,10.56,-11.8,17.4,0.0,2.78,57.18,19.35,-3.7,34.1,15.0,
1991,17.0,61700004063,13.0,6.0,10.05,110.0,234.0,23.0,416.6,9.0,2.0,102.7,29.7,1.0,29.7,37.5,5.1,46.0,7.95,44.66,10.96,-15.8,20.2,1.0,7.95,50.41,12.33,-8.1,34.1,7.0,
1992,14.0,61700004063,0.0,7.0,9.16,81.0,250.0,13.0,649.8,17.0,4.0,196.3,62.7,2.0,35.2,54.6,5.7,55.0,5.48,61.1,16.44,-13.9,18.4,0.0,5.48,59.18,13.7,-3.0,35.1,0.0,
1993,19.0,61700004063,6.0,5.0,9.47,100.0,249.0,25.0,595.7,17.0,2.0,92.4,75.5,2.0,45.5,73.2,5.4,44.0,10.14,55.34,11.51,-15.4,16.7,0.0,10.14,51.23,15.89,-4.8,32.0,14.0,
1994,18.0,61700004063,0.0,7.0,9.33,62.0,293.0,4.0,590.8,15.0,2.0,106.6,73.7,2.0,45.2,59.9,5.0,58.0,4.11,65.48,24.93,-14.3,21.8,1.0,4.11,67.12,21.37,-1.6,35.5,17.0,
1995,22.0,61700004063,0.0,10.0,8.97,95.0,280.0,16.0,760.5,22.0,6.0,212.8,134.3,4.0,39.3,64.0,6.3,58.0,6.3,55.34,16.99,-12.2,17.8,0.0,6.3,51.23,15.89,-6.0,34.7,7.0,
1996,33.0,61700004063,14.0,7.0,9.26,118.0,222.0,34.0,652.1,17.0,5.0,217.7,121.6,3.0,53.7,108.8,6.7,35.0,12.6,43.29,6.3,-21.6,17.9,0.0,12.6,42.19,6.03,-9.4,33.1,21.0,
1997,24.0,61700004063,0.0,7.0,10.12,98.0,247.0,18.0,579.5,16.0,2.0,121.4,0.0,1.0,25.7,50.5,5.4,62.0,4.11,52.6,13.42,-17.0,17.5,0.0,4.11,58.63,15.34,-6.6,33.3,9.0,
1998,22.0,61700004063,6.0,9.0,9.63,97.0,273.0,15.0,711.8,23.0,6.0,264.8,27.3,1.0,27.3,70.4,5.5,43.0,7.67,53.15,16.16,-19.9,17.5,0.0,7.67,54.52,18.9,-4.3,37.7,36.0,
1999,14.0,61700004063,0.0,6.0,9.52,85.0,232.0,13.0,652.1,13.0,2.0,112.5,37.6,1.0,37.6,60.9,5.3,52.0,3.01,59.73,15.62,-13.7,18.8,0.0,3.01,63.01,13.97,-3.4,33.0,8.0,
1879,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
